mva,vin,desc
56903346,3FMCR9CN0SRE34030,FORD BRONCO SPORT
58520626,1FMDE7BH5SLA63283,FORD BRONCO 4DR 4WD
54708986,3GNAXUEG9RL256495,CHEVROLET EQUINOX 4WD
55165806,1FBAX2YG5RKA28797,FORD TRANSIT WAGON
54451972,1C4RJHAG0S8656962,JEEP GRAND CHEROKEE 4WD
59336060,3GNAXHEG2TL296562,CHEVROLET EQUINOX 2WD
59137481,3GNAXHEG5TL283997,CHEVROLET EQUINOX 2WD
58252821,1FMDE7BH8SLA42959,FORD BRONCO 4DR 4WD
59073803,KNDEPCAA0T7860244,KIA SELTOS AWD
57880200,JM3KFBCM4S0695093,MAZDA CX-5 AWD
55945234,4T1DAACK6SU066495,TOYOTA CAMRY HYBRID
56241953,2C4RC1BG2SR526489,CHRYSLER PACIFICA VAN
